subject,activity,variable,mean
1,LAYING,fBodyAccl_JerkMagMean,-0.9333003608
1,LAYING,fBodyAccl_JerkMagMeanFreq,0.26639115416000003
1,LAYING,fBodyAccl_JerkMagStdv,-0.9218039756
1,LAYING,fBodyAccl_JerkMean-X,-0.9570738838
1,LAYING,fBodyAccl_JerkMean-Y,-0.9224626097999999
1,LAYING,fBodyAccl_JerkMean-Z,-0.9480609042
1,LAYING,fBodyAccl_JerkMeanFreq-X,0.132419092398
1,LAYING,fBodyAccl_JerkMeanFreq-Y,0.024513618956000002
1,LAYING,fBodyAccl_JerkMeanFreq-Z,0.024387945279999997
1,LAYING,fBodyAccl_JerkStdv-X,-0.9641607086
1,LAYING,fBodyAccl_JerkStdv-Y,-0.9322178704
1,LAYING,fBodyAccl_JerkStdv-Z,-0.9605869872
1,LAYING,fBodyAccl_MagMean,-0.8617676481
1,LAYING,fBodyAccl_MagMeanFreq,0.08640856294
1,LAYING,fBodyAccl_MagStdv,-0.7983009404
1,LAYING,fBodyAccl_Mean-X,-0.9390990524
1,LAYING,fBodyAccl_Mean-Y,-0.86706520518
1,LAYING,fBodyAccl_Mean-Z,-0.8826668762000001
1,LAYING,fBodyAccl_MeanFreq-X,-0.158792670508
1,LAYING,fBodyAccl_MeanFreq-Y,0.097534841586
1,LAYING,fBodyAccl_MeanFreq-Z,0.08943765522000001
1,LAYING,fBodyAccl_Stdv-X,-0.9244374346
1,LAYING,fBodyAccl_Stdv-Y,-0.8336255561
1,LAYING,fBodyAccl_Stdv-Z,-0.81289155944
1,LAYING,fBodyGyro_JerkMagMean,-0.9423669466
1,LAYING,fBodyGyro_JerkMagMeanFreq,0.17648590708
1,LAYING,fBodyGyro_JerkMagStdv,-0.9326606676
1,LAYING,fBodyGyro_MagMean,-0.8621901854
1,LAYING,fBodyGyro_MagMeanFreq,-0.1397750127
1,LAYING,fBodyGyro_MagStdv,-0.82431943968
1,LAYING,fBodyGyro_Mean-X,-0.850249174586
1,LAYING,fBodyGyro_Mean-Y,-0.9521914948
1,LAYING,fBodyGyro_Mean-Z,-0.909302721
